"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Plantae&taxon_reso=genus&max_ma=75&min_ma=0&cc=NOA&envtype=terr&show=class,genus,ecospace,coords,paleoloc,strat,lith,env,acconly"
"Access Time","Fri 2015-12-04 21:27:20 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Plantae"
"","cc","NOA"
"","envtype","terr"
"","min_ma","0"
"","max_ma","75"
"","taxon_reso","genus"
"","taxon_status","all"
"","ident","latest"
"","show","class,genus,ecospace,coords,paleoloc,strat,lith,env,acconly"
"Elapsed Time","1.05"
"Records Found","5450"
"Records Returned","5450"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","motility","life_habit","diet","lng","lat","paleomodel","paleolng","paleolat","geoplate","formation","stratgroup","member","lithdescript","lithology1","lithification1","minor_lithology1","lithology2","lithification2","minor_lithology2","environment"
"245149","occ","","","24013","Thouinopsis myricaefolia","species","54695","Middle Eocene","","48.6","37.2","6791","Spermatophyta","Magnoliopsida","Sapindales","Sapindaceae","Thouinopsis","","","","-120.000000","39.000000","gp_mid","-101.66","47.61","101","","","","","""shale""","","","","","","""floodplain"""
"245150","occ","","","24013","Gordonia egregia","species","54710","Middle Eocene","","48.6","37.2","6791","Spermatophyta","Dicotyledonae","Theales","Theaceae","Gordonia","","","","-120.000000","39.000000","gp_mid","-101.66","47.61","101","","","","","""shale""","","","","","","""floodplain"""
"245413","occ","","","11371","Quercus","genus","54594","Graybullian","","55.8","50.3","4163","Spermatophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","","","","-107.000000","44.000000","gp_mid","-78.98","51.50","101","Willwood","","","","""shale""","lithified","carbonaceous","","","","wet floodplain"
"247071","occ","","","11455","Dombeya novimundi","species","55499","Lostcabinian","","55.8","50.3","4163","Spermatophyta","Magnoliopsida","Malvales","Sterculiaceae","Dombeya","","","","-108.333336","44.500000","gp_mid","-80.23","52.26","101","Willwood","","","","""shale""","lithified","carbonaceous","","","","wet floodplain"
"247072","occ","","","11455","Glyptostrobus europaeus","species","55252","Lostcabinian","","55.8","50.3","4163","Pinophyta","Pinopsida","Pinales","Taxodiaceae","Glyptostrobus","","","","-108.333336","44.500000","gp_mid","-80.23","52.26","101","Willwood","","","","""shale""","lithified","carbonaceous","","","","wet floodplain"
"247073","occ","","","11455","Lygodium kaulfussi","species","55241","Lostcabinian","","55.8","50.3","4163","Pteridophyta","Pteridopsida","Schizaeales","Schizaeaceae","Lygodium","","","","-108.333336","44.500000","gp_mid","-80.23","52.26","101","Willwood","","","","""shale""","lithified","carbonaceous","","","","wet floodplain"
"247074","occ","","","11455","Platycarya","genus","55290","Lostcabinian","","55.8","50.3","4163","Spermatophyta","Dicotyledonae","Juglandales","Juglandaceae","Platycarya","","","","-108.333336","44.500000","gp_mid","-80.23","52.26","101","Willwood","","","","""shale""","lithified","carbonaceous","","","","wet floodplain"
"247751","occ","","","24209","Equisetum","genus","55064","Chadronian","","37.2","33.9","5095","Equisetophyta","Equisetopsida","Equisetales","Equisetaceae","Equisetum","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247752","occ","","","24209","Dryopteris","genus","55562","Chadronian","","37.2","33.9","5095","Pteridophyta","Pteridopsida","Polypodiales","Dryopteridaceae","Dryopteris","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247754","occ","","","24209","Abies","genus","55065","Chadronian","","37.2","33.9","5095","Pinophyta","Pinopsida","Pinales","Pinaceae","Abies","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247755","occ","","","24209","Picea","genus","83629","Chadronian","","37.2","33.9","5095","Pinophyta","Pinopsida","Pinales","Pinaceae","Picea","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247756","occ","","","24209","Picea","genus","83629","Chadronian","","37.2","33.9","5095","Pinophyta","Pinopsida","Pinales","Pinaceae","Picea","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247757","occ","","","24209","Pinus","genus","55062","Chadronian","","37.2","33.9","5095","Pinophyta","Pinopsida","Pinales","Pinaceae","Pinus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247758","occ","","","24209","Pinus","genus","55062","Chadronian","","37.2","33.9","5095","Pinophyta","Pinopsida","Pinales","Pinaceae","Pinus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247759","occ","","","24209","Pinus","genus","55062","Chadronian","","37.2","33.9","5095","Pinophyta","Pinopsida","Pinales","Pinaceae","Pinus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247760","occ","","","24209","Sequoia","genus","55068","Chadronian","","37.2","33.9","5095","Pinophyta","Pinopsida","Pinales","Taxodiaceae","Sequoia","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247762","occ","","","24209","Ephedra","genus","251997","Chadronian","","37.2","33.9","5095","Ginkgophyta","Ginkgoopsida","Ephedrales","Ephedraceae","Ephedra","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247763","occ","","","24209","Typha","genus","252000","Chadronian","","37.2","33.9","5095","Angiospermae","","Typhales","Typhaceae","Typha","","","""photoautotroph""","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247765","occ","","","24209","Cyperacites","genus","55273","Chadronian","","37.2","33.9","5095","Angiospermae","","Cyperales","Cyperaceae","Cyperacites","","","""photoautotroph""","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247766","occ","","","24209","Smilax labidurommae","species","54576","Chadronian","","37.2","33.9","5095","Angiospermae","","Dioscoreales","Smilacaceae","Smilax","","","""photoautotroph""","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247767","occ","","","24209","Populus","genus","55955","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Violales","Salicaceae","Populus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247768","occ","","","24209","Salix","genus","54580","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Violales","Salicaceae","Salix","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247769","occ","","","24209","Salix","genus","54580","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Violales","Salicaceae","Salix","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247770","occ","","","24209","Salix","genus","54580","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Violales","Salicaceae","Salix","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247771","occ","","","24209","Carya","genus","54583","Chadronian","","37.2","33.9","5095","Spermatophyta","Dicotyledonae","Juglandales","Juglandaceae","Carya","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247774","occ","","","24209","Castanea","genus","55972","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Fagales","Fagaceae","Castanea","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247775","occ","","","24209","Quercus","genus","54594","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247776","occ","","","24209","Quercus","genus","54594","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247777","occ","","","24209","Quercus","genus","54594","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247778","occ","","","24209","Quercus","genus","54594","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247779","occ","","","24209","Quercus","genus","54594","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247780","occ","","","24209","Quercus","genus","54594","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247781","occ","","","24209","Quercus","genus","54594","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247782","occ","","","24209","Quercus","genus","54594","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247783","occ","","","24209","Quercus","genus","54594","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247784","occ","","","24209","Celtis","genus","53532","Chadronian","","37.2","33.9","5095","Spermatophyta","Dicotyledonae","Urticales","Ulmaceae","Celtis","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247785","occ","","","24209","Ulmus","genus","55984","Chadronian","","37.2","33.9","5095","Spermatophyta","Dicotyledonae","Urticales","Ulmaceae","Ulmus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247786","occ","10728","","24209","Cedrelospermum","genus","53893","Chadronian","","37.2","33.9","6868","Spermatophyta","Dicotyledonae","Urticales","Ulmaceae","Cedrelospermum","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247788","occ","9994","","24209","Cedrelospermum","genus","53893","Chadronian","","37.2","33.9","6868","Spermatophyta","Dicotyledonae","Urticales","Ulmaceae","Cedrelospermum","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247790","occ","","","24209","Mahonia","genus","157336","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Ranunculales","Berberidaceae","Mahonia","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247791","occ","","","24209","Mahonia","genus","157336","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Ranunculales","Berberidaceae","Mahonia","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247792","occ","","","24209","Mahonia","genus","157336","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Ranunculales","Berberidaceae","Mahonia","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247794","occ","","","24209","Persea","genus","54628","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Magnoliales","Lauraceae","Persea","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247795","occ","","","24209","Sassafras","genus","157337","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Magnoliales","Lauraceae","Sassafras","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247796","occ","","","24209","Hydrangea","genus","54631","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Rosales","Saxifragaceae","Hydrangea","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247797","occ","","","24209","Philadelphus","genus","157339","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Rosales","Saxifragaceae","Philadelphus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247799","occ","","","24209","Amelanchier","genus","157340","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247801","occ","","","24209","Crataegus","genus","157341","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247802","occ","","","24209","Crataegus","genus","157341","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247803","occ","","","24209","Crataegus","genus","157341","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247806","occ","","","24209","Prunus","genus","157342","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247807","occ","","","24209","Rosa","genus","157343","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Rosales","Rosaceae","Rosa","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247808","occ","","","24209","Vauquelinia","genus","54649","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Rosales","Rosaceae","Vauquelinia","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247811","occ","","","24209","Cercis","genus","157344","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Fabales","Leguminosae","Cercis","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247813","occ","","","24209","Leguminosites","genus","56033","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Fabales","Leguminosae","Leguminosites","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247819","occ","","","24209","Platanus","genus","53335","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Proteales","Platanaceae","Platanus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247821","occ","","","24209","Ailanthus","genus","54668","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Geraniales","Simarubaceae","Ailanthus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247823","occ","","","24209","Cedrela","genus","54671","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Sapindales","Meliaceae","Cedrela","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247825","occ","","","24209","Euphorbia","genus","319873","Chadronian","","37.2","33.9","5095","Spermatophyta","Dicotyledonae","Euphorbiales","Euphorbiaceae","Euphorbia","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247828","occ","","","24209","Rhus","genus","54685","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Sapindales","Anacardiaceae","Rhus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247829","occ","","","24209","Rhus","genus","54685","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Sapindales","Anacardiaceae","Rhus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247830","occ","","","24209","Rhus","genus","54685","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Sapindales","Anacardiaceae","Rhus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247832","occ","","","24209","Celastrus","genus","54678","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Celastrales","Celastraceae","Celastrus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247834","occ","9995","","24209","Rubus","genus","264405","Chadronian","","37.2","33.9","6868","Spermatophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247835","occ","","","24209","Acer","genus","54688","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Sapindales","Aceraceae","Acer","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247836","occ","9996","","24209","Acer","genus","54688","Chadronian","","37.2","33.9","6868","Spermatophyta","Magnoliopsida","Sapindales","Aceraceae","Acer","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247837","occ","","","24209","Acer","genus","54688","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Sapindales","Aceraceae","Acer","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247838","occ","","","24209","Dipteronia","genus","157347","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Sapindales","Aceraceae","Dipteronia","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247841","occ","","","24209","Dodonaea","genus","319875","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Sapindales","Sapindaceae","Dodonaea","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247842","occ","","","24209","Koelreuteria","genus","157348","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Sapindales","Sapindaceae","Koelreuteria","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247843","occ","","","24209","Sapindus","genus","55918","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Sapindales","Sapindaceae","Sapindus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247846","occ","","","24209","Rhamnites","genus","237789","Chadronian","","37.2","33.9","5095","Spermatophyta","Dicotyledonae","Rhamnales","Rhamnaceae","Rhamnites","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247847","occ","","","24209","Zizyphus","genus","318429","Chadronian","","37.2","33.9","5095","Spermatophyta","Dicotyledonae","Rhamnales","Rhamnaceae","Zizyphus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247848","occ","","","24209","Parthenocissus","genus","264931","Chadronian","","37.2","33.9","5095","Spermatophyta","Dicotyledonae","Rhamnales","Vitaceae","Parthenocissus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247852","occ","","","24209","Eugenia","genus","237731","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Myrtales","Myrtaceae","Eugenia","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247855","occ","","","24209","Halesia","genus","157354","Chadronian","","37.2","33.9","5095","Spermatophyta","Dicotyledonae","Theales","Styracaceae","Halesia","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247861","occ","","","24209","Ficus","genus","53873","Chadronian","","37.2","33.9","5095","Spermatophyta","Dicotyledonae","Urticales","Moraceae","Ficus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247862","occ","","","24209","Ilex","genus","319957","Chadronian","","37.2","33.9","5095","Spermatophyta","Dicotyledonae","Theales","Aquifoliaceae","Ilex","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247864","occ","","","24209","Potamogeton","genus","83632","Chadronian","","37.2","33.9","5095","Magnoliophyta","Liliopsida","Alismatales","Najadaceae","Potamogeton","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247865","occ","","","24209","Sterculia","genus","175087","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","","","Sterculia","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247873","occ","","","24209","Crataegus","genus","157341","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247876","occ","","","24209","Ficus","genus","53873","Chadronian","","37.2","33.9","5095","Spermatophyta","Dicotyledonae","Urticales","Moraceae","Ficus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247877","occ","","","24209","Ficus","genus","53873","Chadronian","","37.2","33.9","5095","Spermatophyta","Dicotyledonae","Urticales","Moraceae","Ficus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247888","occ","","","24209","Populus","genus","55955","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Violales","Salicaceae","Populus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"247889","occ","","","24209","Quercus","genus","54594","Chadronian","","37.2","33.9","5095","Spermatophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"249517","occ","","","24209","Carya","genus","54583","Chadronian","","37.2","33.9","6868","Spermatophyta","Dicotyledonae","Juglandales","Juglandaceae","Carya","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"249524","occ","","","24209","Potamogeton","genus","83632","Chadronian","","37.2","33.9","6868","Magnoliophyta","Liliopsida","Alismatales","Najadaceae","Potamogeton","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"249527","occ","","","24209","Dipteronia","genus","157347","Chadronian","","37.2","33.9","6868","Spermatophyta","Magnoliopsida","Sapindales","Aceraceae","Dipteronia","","","","-105.250000","38.916668","gp_mid","-89.26","44.87","101","","","","","""siliciclastic""","","","","","","lacustrine indet."
"250175","occ","","","11475","Woodwardia gravida","species","55247","Graybullian","","55.8","50.3","4163","Pteridophyta","Pteridopsida","Polypodiales","Blechnaceae","Woodwardia","","","","-108.097252","44.301460","gp_mid","-80.06","52.02","101","Willwood","","","","""shale""","lithified","carbonaceous","","","","wet floodplain"
"250176","occ","","","11484","Dombeya novimundi","species","55499","Lostcabinian","","55.8","50.3","4163","Spermatophyta","Magnoliopsida","Malvales","Sterculiaceae","Dombeya","","","","-108.590530","44.185539","gp_mid","-80.66","52.01","101","Willwood","","","","""shale""","lithified","carbonaceous","","","","wet floodplain"
"250177","occ","","","11484","Equisetum","genus","55064","Lostcabinian","","55.8","50.3","4163","Equisetophyta","Equisetopsida","Equisetales","Equisetaceae","Equisetum","","","","-108.590530","44.185539","gp_mid","-80.66","52.01","101","Willwood","","","","""shale""","lithified","carbonaceous","","","","wet floodplain"
"250178","occ","","","11484","Lygodium kaulfussi","species","55241","Lostcabinian","","55.8","50.3","4163","Pteridophyta","Pteridopsida","Schizaeales","Schizaeaceae","Lygodium","","","","-108.590530","44.185539","gp_mid","-80.66","52.01","101","Willwood","","","","""shale""","lithified","carbonaceous","","","","wet floodplain"
"250179","occ","","","11484","Platanus","genus","53335","Lostcabinian","","55.8","50.3","4163","Spermatophyta","Magnoliopsida","Proteales","Platanaceae","Platanus","","","","-108.590530","44.185539","gp_mid","-80.66","52.01","101","Willwood","","","","""shale""","lithified","carbonaceous","","","","wet floodplain"
"250180","occ","","","11484","Platycarya","genus","55290","Lostcabinian","","55.8","50.3","4163","Spermatophyta","Dicotyledonae","Juglandales","Juglandaceae","Platycarya","","","","-108.590530","44.185539","gp_mid","-80.66","52.01","101","Willwood","","","","""shale""","lithified","carbonaceous","","","","wet floodplain"
"250181","occ","","","11484","Zingiberopsis isonervosa","species","55282","Lostcabinian","","55.8","50.3","4163","Angiospermae","","Zingiberales","Zingiberaceae","Zingiberopsis","","","""photoautotroph""","-108.590530","44.185539","gp_mid","-80.66","52.01","101","Willwood","","","","""shale""","lithified","carbonaceous","","","","wet floodplain"
"250647","occ","","","24411","Asplenium","genus","55061","Eocene","","56","33.9","4749","Pteridophyta","Pteridopsida","Polypodiales","Aspleniaceae","Asplenium","","","","-110.099998","39.000000","gp_mid","-89.42","46.40","101","Green River","","","","","","","","","","""floodplain"""
"250648","occ","","","24411","Equisetum","genus","55064","Eocene","","56","33.9","4749","Equisetophyta","Equisetopsida","Equisetales","Equisetaceae","Equisetum","","","","-110.099998","39.000000","gp_mid","-89.42","46.40","101","Green River","","","","","","","","","","""floodplain"""
"250649","occ","","","24411","Populus","genus","55955","Eocene","","56","33.9","4749","Spermatophyta","Magnoliopsida","Violales","Salicaceae","Populus","","","","-110.099998","39.000000","gp_mid","-89.42","46.40","101","Green River","","","","","","","","","","""floodplain"""
