"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Plantae&taxon_reso=genus&max_ma=75&min_ma=0&cc=NOA&envtype=terr&show=class,genus,ecospace,coords,paleoloc,strat,lith,env,acconly"
"Access Time","Fri 2015-12-04 21:27:20 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Plantae"
"","cc","NOA"
"","envtype","terr"
"","min_ma","0"
"","max_ma","75"
"","taxon_reso","genus"
"","taxon_status","all"
"","ident","latest"
"","show","class,genus,ecospace,coords,paleoloc,strat,lith,env,acconly"
"Elapsed Time","1.05"
"Records Found","5450"
"Records Returned","5450"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","motility","life_habit","diet","lng","lat","paleomodel","paleolng","paleolat","geoplate","formation","stratgroup","member","lithdescript","lithology1","lithification1","minor_lithology1","lithology2","lithification2","minor_lithology2","environment"
"130953","occ","","","10802","Equisetum magnum","species","55230","Wasatchian","","55.8","50.3","4023","Equisetophyta","Equisetopsida","Equisetales","Equisetaceae","Equisetum","","","","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130954","occ","","","10802","Glyptostrobus europaeus","species","55252","Wasatchian","","55.8","50.3","4023","Pinophyta","Pinopsida","Pinales","Taxodiaceae","Glyptostrobus","","","","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130955","occ","18673","","10802","Platycarya americana","species","55289","Wasatchian","","55.8","50.3","19407","Spermatophyta","Dicotyledonae","Juglandales","Juglandaceae","Platycarya","","","","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130956","occ","","","10802","Lygodium kaulfussi","species","55241","Wasatchian","","55.8","50.3","4023","Pteridophyta","Pteridopsida","Schizaeales","Schizaeaceae","Lygodium","","","","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130957","occ","","","10802","Palmacites","genus","55274","Wasatchian","","55.8","50.3","4023","Angiospermae","","Arecales","Palmae","Palmacites","","","""photoautotroph""","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130958","occ","","","10802","Paraternstroemia hyphovenosa","species","55327","Wasatchian","","55.8","50.3","4023","Spermatophyta","Dicotyledonae","Theales","Theaceae","Paraternstroemia","","","","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130960","occ","","","10802","Platycarya americana","species","55289","Wasatchian","","55.8","50.3","4023","Spermatophyta","Dicotyledonae","Juglandales","Juglandaceae","Platycarya","","","","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130962","occ","18674","","10802","Platycarya americana","species","55289","Wasatchian","","55.8","50.3","19407","Spermatophyta","Dicotyledonae","Juglandales","Juglandaceae","Platycarya","","","","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130963","occ","","","10802","Salvinia preauriculata","species","55249","Wasatchian","","55.8","50.3","4023","Pteridophyta","Pteridopsida","Salviniales","Salviniaceae","Salvinia","","","","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130964","occ","","","10802","Sparganium stygium","species","55258","Wasatchian","","55.8","50.3","4023","Angiospermae","","Typhales","Sparganiaceae","Sparganium","","","""photoautotroph""","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130965","occ","","","10802","Stillingia casca","species","55320","Wasatchian","","55.8","50.3","4023","Spermatophyta","Dicotyledonae","Euphorbiales","Euphorbiaceae","Stillingia","","","","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130966","occ","","","10802","Ternstroemites aureavallis","species","55329","Wasatchian","","55.8","50.3","4023","Spermatophyta","Dicotyledonae","Theales","Theaceae","Ternstroemites","","","","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130967","occ","","","10802","Zingiberopsis isonervosa","species","55282","Wasatchian","","55.8","50.3","4023","Angiospermae","","Zingiberales","Zingiberaceae","Zingiberopsis","","","""photoautotroph""","-103.250000","45.500000","gp_mid","-74.14","52.13","101","Golden Valley","","Camels Butte","","siltstone","poorly lithified","","","","","""channel"""
"130968","occ","","","10804","Meliosma longifolia","species","55322","Tertiary","Wasatchian","66","50.3","4023","Spermatophyta","Magnoliopsida","Ranunculales","Sabiaceae","Meliosma","","","","-102.091393","47.248611","gp_mid","-67.88","54.13","101","Golden Valley","","Camels Butte","","sandstone","","conglomeratic","","","","""channel"""
"130969","occ","","","10805","Acer","genus","54688","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Magnoliopsida","Sapindales","Aceraceae","Acer","","","","-102.783333","46.883331","gp_mid","-70.50","53.73","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone","siltstone","","","","","","""channel"""
"130970","occ","","","10805","Carpolithes lunatus","species","55346","Clarkforkian","","56.8","55.8","4023","","","","","Carpolithes","","","","-102.783333","46.883331","gp_mid","-70.50","53.73","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone","siltstone","","","","","","""channel"""
"130971","occ","","","10805","Cercidiphyllum genetrix","species","55303","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Magnoliopsida","Saxifragales","Cercidiphyllaceae","Cercidiphyllum","","","","-102.783333","46.883331","gp_mid","-70.50","53.73","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone","siltstone","","","","","","""channel"""
"130972","occ","","","10805","Equisetum magnum","species","55230","Clarkforkian","","56.8","55.8","4023","Equisetophyta","Equisetopsida","Equisetales","Equisetaceae","Equisetum","","","","-102.783333","46.883331","gp_mid","-70.50","53.73","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone","siltstone","","","","","","""channel"""
"130973","occ","","","10805","Pinus peregrinus","species","55251","Clarkforkian","","56.8","55.8","4023","Pinophyta","Pinopsida","Pinales","Pinaceae","Pinus","","","","-102.783333","46.883331","gp_mid","-70.50","53.73","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone","siltstone","","","","","","""channel"""
"130975","occ","","","10805","Cornus hyperborea","species","55334","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Magnoliopsida","Cornales","Cornaceae","Cornus","","","","-102.783333","46.883331","gp_mid","-70.50","53.73","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone","siltstone","","","","","","""channel"""
"130976","occ","","","10806","Dombeya novimundi","species","55499","Tertiary","Wasatchian","66","50.3","4023","Spermatophyta","Magnoliopsida","Malvales","Sterculiaceae","Dombeya","","","","-102.000000","46.983334","gp_mid","-67.96","53.86","101","Golden Valley","","Camels Butte","","claystone","","","","","","""channel"""
"130977","occ","","","10806","Hemitelia magna","species","55243","Tertiary","Wasatchian","66","50.3","4023","Pteridophyta","Pteridopsida","Cyatheales","Cyatheaceae","Hemitelia","","","","-102.000000","46.983334","gp_mid","-67.96","53.86","101","Golden Valley","","Camels Butte","","claystone","","","","","","""channel"""
"130978","occ","","","10806","Isoetites horridus","species","55238","Tertiary","Wasatchian","66","50.3","4023","Pteridophyta","Lycopsida","","Isoetaceae","Isoetites","","","","-102.000000","46.983334","gp_mid","-67.96","53.86","101","Golden Valley","","Camels Butte","","claystone","","","","","","""channel"""
"130979","occ","","","10806","Salvinia preauriculata","species","55249","Tertiary","Wasatchian","66","50.3","4023","Pteridophyta","Pteridopsida","Salviniales","Salviniaceae","Salvinia","","","","-102.000000","46.983334","gp_mid","-67.96","53.86","101","Golden Valley","","Camels Butte","","claystone","","","","","","""channel"""
"130980","occ","","","10807","Averrhoites affinis","species","55315","Tertiary","Wasatchian","66","50.3","4023","Spermatophyta","Magnoliopsida","Sapindales","Oxalidaceae","Averrhoites","","","","-102.050003","47.983334","gp_mid","-67.36","54.80","101","Golden Valley","","Camels Butte","","claystone","","","","","","""channel"""
"130981","occ","","","10807","Dicotylophyllum hamameloides","species","55335","Tertiary","Wasatchian","66","50.3","4023","Spermatophyta","Magnoliopsida","","","Dicotylophyllum","","","","-102.050003","47.983334","gp_mid","-67.36","54.80","101","Golden Valley","","Camels Butte","","claystone","","","","","","""channel"""
"130982","occ","","","10807","Dicotylophyllum hebronensis","species","55336","Tertiary","Wasatchian","66","50.3","4023","Spermatophyta","Magnoliopsida","","","Dicotylophyllum","","","","-102.050003","47.983334","gp_mid","-67.36","54.80","101","Golden Valley","","Camels Butte","","claystone","","","","","","""channel"""
"130983","occ","","","10807","Isoetites horridus","species","55238","Tertiary","Wasatchian","66","50.3","4023","Pteridophyta","Lycopsida","","Isoetaceae","Isoetites","","","","-102.050003","47.983334","gp_mid","-67.36","54.80","101","Golden Valley","","Camels Butte","","claystone","","","","","","""channel"""
"130984","occ","","","10807","Meliosma longifolia","species","55322","Tertiary","Wasatchian","66","50.3","4023","Spermatophyta","Magnoliopsida","Ranunculales","Sabiaceae","Meliosma","","","","-102.050003","47.983334","gp_mid","-67.36","54.80","101","Golden Valley","","Camels Butte","","claystone","","","","","","""channel"""
"130985","occ","","","10807","Platycarya americana","species","55289","Tertiary","Wasatchian","66","50.3","4023","Spermatophyta","Dicotyledonae","Juglandales","Juglandaceae","Platycarya","","","","-102.050003","47.983334","gp_mid","-67.36","54.80","101","Golden Valley","","Camels Butte","","claystone","","","","","","""channel"""
"130986","occ","","","10807","Protophyllum semotum","species","55313","Tertiary","Wasatchian","66","50.3","4023","Spermatophyta","Magnoliopsida","Proteales","Platanaceae","Protophyllum","","","","-102.050003","47.983334","gp_mid","-67.36","54.80","101","Golden Valley","","Camels Butte","","claystone","","","","","","""channel"""
"130987","occ","","","10807","Salvinia preauriculata","species","55249","Tertiary","Wasatchian","66","50.3","4023","Pteridophyta","Pteridopsida","Salviniales","Salviniaceae","Salvinia","","","","-102.050003","47.983334","gp_mid","-67.36","54.80","101","Golden Valley","","Camels Butte","","claystone","","","","","","""channel"""
"130988","occ","","","10807","Sparganium stygium","species","55258","Tertiary","Wasatchian","66","50.3","4023","Angiospermae","","Typhales","Sparganiaceae","Sparganium","","","""photoautotroph""","-102.050003","47.983334","gp_mid","-67.36","54.80","101","Golden Valley","","Camels Butte","","claystone","","","","","","""channel"""
"130989","occ","","","10803","Cercidiphyllum genetrix","species","55303","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Magnoliopsida","Saxifragales","Cercidiphyllaceae","Cercidiphyllum","","","","-102.050003","46.983334","gp_mid","-69.65","53.65","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone. Some lignite and shale also","siltstone","","","","","","""channel"""
"130990","occ","","","10803","Equisetum magnum","species","55230","Clarkforkian","","56.8","55.8","4023","Equisetophyta","Equisetopsida","Equisetales","Equisetaceae","Equisetum","","","","-102.050003","46.983334","gp_mid","-69.65","53.65","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone. Some lignite and shale also","siltstone","","","","","","""channel"""
"130991","occ","","","10803","Glyptostrobus europaeus","species","55252","Clarkforkian","","56.8","55.8","4023","Pinophyta","Pinopsida","Pinales","Taxodiaceae","Glyptostrobus","","","","-102.050003","46.983334","gp_mid","-69.65","53.65","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone. Some lignite and shale also","siltstone","","","","","","""channel"""
"130992","occ","","","10803","Metasequoia occidentalis","species","55254","Clarkforkian","","56.8","55.8","4023","Pinophyta","Pinopsida","Pinales","Taxodiaceae","Metasequoia","","","","-102.050003","46.983334","gp_mid","-69.65","53.65","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone. Some lignite and shale also","siltstone","","","","","","""channel"""
"130993","occ","","","10803","Sparganium parvum","species","55261","Clarkforkian","","56.8","55.8","4023","Angiospermae","","Typhales","Sparganiaceae","Sparganium","","","""photoautotroph""","-102.050003","46.983334","gp_mid","-69.65","53.65","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone. Some lignite and shale also","siltstone","","","","","","""channel"""
"130994","occ","","","10808","Averrhoites affinis","species","55315","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Magnoliopsida","Sapindales","Oxalidaceae","Averrhoites","","","","-102.083336","46.916668","gp_mid","-69.72","53.59","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone. Includes sandstone and shale also","siltstone","","","sandstone","","","""channel"""
"130995","occ","","","10808","Carya antiquorum","species","55288","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Dicotyledonae","Juglandales","Juglandaceae","Carya","","","","-102.083336","46.916668","gp_mid","-69.72","53.59","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone. Includes sandstone and shale also","siltstone","","","sandstone","","","""channel"""
"130996","occ","","","10808","Cercidiphyllum genetrix","species","55303","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Magnoliopsida","Saxifragales","Cercidiphyllaceae","Cercidiphyllum","","","","-102.083336","46.916668","gp_mid","-69.72","53.59","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone. Includes sandstone and shale also","siltstone","","","sandstone","","","""channel"""
