authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"J. Alroy","J. Alroy","J. Alroy",40825,"J. R.",Bourque,,,,2011,"Reassessment of a putative fossil stinkpot (Kinosternidae: Sternotherus) from the late Miocene (Clarendonian) of Kansas","Journal of Herpetology",,45,2,234,237,"journal article","stated without evidence",English,dx.doi.org/10.1670/10-095.1,,,,"2012-03-18 14:36:30","2012-03-17 22:40:52"
"M. Carrano","M. Carrano",,23480,E.,Brandlen,"P. J.",McCarthy,"A. R. Fiorillo",2006,"Upper Cretaceous high latitude paleosols near the Kikak-Tegoseak dinosaur site (Prince Creek Formation), North Slope, Alaska","Geological Society of America Abstracts with Programs",,38,7,490,,abstract,"stated without evidence",English,,,ETE,,"2007-03-12 08:41:33","2007-03-12 10:41:33"
"M. Carrano","M. Carrano",,23481,E.,Brandlen,"P. J.",McCarthy,"P. F. Flaig, A. R. Fiorillo",2006,"Depositional environments of the Upper Cretaceous Prince Creek Formation, Kikak-Tegoseak dinosaur site, North Slope, Alaska","Geological Society of America Abstracts with Programs",,38,5,83,,abstract,"stated without evidence",English,,,ETE,,"2007-03-12 08:44:54","2007-03-12 10:44:57"
"J. Alroy","J. Alroy",,28656,"B. H.",Brattstrom,,,,1955,"Small herpetofauna from the Pleistocene of Carpinteria, California",Copeia,,1955,2,138,139,"journal article","stated without evidence",English,,,,,"2008-12-03 13:32:12","2008-12-03 15:32:12"
"J. Alroy","J. Alroy","M. Carrano",1129,"B. H.",Breithaupt,,,,1982,"Paleontology and paleoecology of the Lance Formation (Maastrichtian), east flank of Rock Springs Uplift, Sweetwater County, Wyoming","Contributions to Geology, University of Wyoming",,21,2,123,151,"journal article","stated without evidence",,,,,,"2001-03-02 15:01:31","2004-12-09 14:10:23"
"J. Alroy","J. Alroy","J. Alroy",1136,"R. W.",Brown,,,,1959,"A bat and some plants from the upper Oligocene of Oregon","Journal of Paleontology",,33,1,125,129,"journal article","stated with evidence",English,,,,,"2001-03-02 15:01:31","2008-10-26 15:47:08"
"P. Wilf","J. Sessa","J. Sessa",10820,"R. W.",Brown,,,,1962,"Paleocene flora of the Rocky Mountains and Great Plains","United States Geological Survey Professional Paper",,375,,1,119,"serial monograph","stated without evidence",,,"69 pages of plates",,,"2004-06-10 13:37:58","2004-06-10 15:37:58"
"M. Clapham","M. Clapham","M. Clapham",48375,"F. M.",Brown,,,,1984,"Two undescribed fossil Dermaptera from Florissant, Colorado","Entomological News",,95,,33,35,"journal article","stated with evidence",English,,,,,"2013-09-30 13:27:24","2013-09-29 22:28:04"
"M. Clapham","M. Clapham",,45156,"F. M.",Brown,,,,1985,"Four undescribed Oligocene craneflies from Florissant, Colorado, (Diptera: Tipulidae)","Insecta Mundi",,1,,98,100,"journal article","stated with evidence",English,,,,,"2013-02-25 14:14:13","2013-02-24 21:14:13"
"C. Labandeira","C. Labandeira","M. Clapham",4967,"C. T.",Brues,,,,1906,"Fossil Parasitic and Phytophagous Hymenoptera from Florissant, Colorado","Bulletin of the American Museum of Natural History",,22,,491,498,"journal article","stated without evidence",English,,"ETE reference number 679",ETE,679,"2002-03-04 16:40:45","2012-01-07 16:33:45"
